cnvcAirport3Code,cnvcName,cnvcEnglishName,cnvcPinYin,cnvcShortPinYin,cniNationTypeID
AAT,阿勒泰,Altay,ALeTai,ALT,1
ABE,阿兰顿,Allentown,ALanDun,ALD,2
ABJ,阿比让,Abidjan,ABiRang,ABR,2
ABQ,阿尔伯克基,Albuquerque,AErBoKeJi,AEBKJ,2
ABV,阿布贾,Abuja,ABuJia,ABJ,2
ABZ,岱斯,Dyce,daisi,ZS,2
ACC,阿克拉,Accra,AKeLa,AKL,2
ACE,兰萨罗特,Lanzarote,LanSaLuoTe,LSLT,2
ACX,贵阳兴义,Guiyang,GuiYangXingYi,GYXY,1
ADA,阿达纳,Adana,ADaNa,ADN,2
ADD,亚的斯亚贝巴,Addis Ababa,YaDeSiYaBeiBa,YDSYBB,2
ADL,阿德莱德,Adelaide,ADeLaiDe,ADLD,2
AEB,百色,Baise,BaiSe,BS,1
AES,奥勒松,Aalesund,AoLeSong,ALS,2
AGA,阿加迪尔,Agadir,AJiaDiEr,AJDE,1
AGP,马拉加,Malaga,MaLaJia,MLJ,2
AGT,埃斯特城,Ciudad Del Este,AiSiTeCheng,ASTC,2
AKA,安康,Ankang,AnKang,AK,1
AKL,奥克兰,Auckland,AoKeLan,AKL,2
AKU,阿克苏,Aksu,AKeSu,AKS,1
ALA,阿拉木图,Almaty,ALaMuTu,ALMT,2
ALB,奥尔巴尼机场,Albany,niuyue,AEBNJC,2
ALC,阿利坎特,Alicante,ALiKanTe,ALKT,2
ALG,阿尔及尔,Algiers,AErJiEr,AEJE,2
AMD,艾哈迈达巴德,Ahmedabad,AiHaMaiDaBaDe,AHMDBD,2
AMM,安曼,Amman,AMM,AM,2
AMS,阿姆斯特丹,Amsterdam,AMuSiTeDan,AMSTD,2
ANC,安克雷奇,Anchorage,AnKeLeiQi,AKLQ,2
ANK,安卡拉,Ankara,AnKaLa,AKL,2
ANR,安特卫普,Antwerp,AnTeWeiPu,ATWP,2
AOG,鞍山,Anshan,AnShan,AS,1
AQG,安庆,Anqing,AnQing,AQ,1
ARN,斯德哥尔摩,Stockholm,SiDeGeErMo,SDGEM,2
ASM,阿斯马拉,Asmara,ASiMaLa,ASML,2
ASU,亚松森,Asuncion,YaSongSen,YSS,2
ATH,雅典,Athens,YaDian,YD,2
ATL,亚特兰大,Atlanta,YaTeLanDa,YTLD,2
AUA,阿鲁巴,Aruba,ALuBa,ALB,2
AUH,阿布扎比,Abu Dkabi,ABuZhaBi,ABZB,2
AUS,奥斯汀,Austin,AoSiTing,AST,2
AVA,安顺,Anshun,AnShun,AS,1
AXF,巴彦浩特,Bayanhaote,BaYanHaoTe,BYHT,1
AYG,安阳,Anyang,AnYang,AY,2
AYT,安塔利亚,Antalya,AnTaLiYa,ATLY,2
BAH,巴林,Bahrain,BaLinGuoJiJiChang,BL,2
BAR,博鳌,Bar,boao,BA,1
BAV,包头,Baotou,BaoTou,BT,1
BBU,布加勒斯特伯尼亚萨国际机场,Aurel Vlaicu,BuJiaLeSiTeBoNiYaSaGuoJiJiChang,BJLSTBNYSGJJC,2
BCN,巴塞罗那,Barcelona,BaSaiLuoNa,BSLN,2
BDL,哈特福德,Bdl,HaTeFuDe,HTFD,2
BDO,万隆机场,Hussein Sastranegara,WanLongJiChang,WLJC,2
BEG,贝尔格莱德,Belgrade,BeiErGeLaiDe,BEGLD,2
BEL,培兰,Belem,PeiLan,PL,2
BER,柏林机场,Berlin,BaiLin,BLJC,2
BEY,贝鲁特,Beirut,BeiLuTe,BLT,2
BFI,西雅图金镇机场,Boeing Fld-King Co Intl,JinZhenGuoJiJiChang,XYTJZJC,2
BFJ,毕节飞雄,Bfj,BiJieFeiXiong,BJFX,1
BFS,贝尔法斯特,Belfast,beierfasite,BEFST,2
BFU,蚌埠,Bengbu,BangBu,BB,1
BGI,布里奇敦国际机场,Grantley Adams,BuLiQiDunGuoJiJiChang,BLQDGJJC,2
BGO,卑尔根,Bergen,BeiErGen,BEG,2
BGW,巴格达,Baghdad,YiLaKe,BGD,2
BHM,伯明瀚,Birmingham Shuttlesworth,BoMingZuo,BMZ,2
BHX,伯明翰,Birmingham,BoMingHan,BMH,2
BHY,北海,Beihai,BeiHai,BH,1
BIO,毕尔巴鄂,Bilbao,BiErBaE,BEBE,2
BJL,班珠尔,Banjul,BanZhuEr,BZE,2
BJM,布琼布拉,Bujumbura,BuQiongBuLa,BQBL,2
BKI,科达基纳,Kokakinablu,KeDaJiNa,KDJN,2
BKK,曼谷,Bangkok,ManGu,MG,2
BLL,比隆,Billund,BiLong,BL,2
BLQ,博洛尼亚,Bologna,BoLuoNiYa,BLNY,2
BLR,班加罗尔,Bangalore,BanJiaLuoEr,BJLE,2
BNA,纳什维尔,Nashville,NaShiWeiEr,NSWE,2
BNE,布里斯班,Brisbane,BuLiSiBan,BLSB,2
BOD,波尔多,Bordeaux,BoErDuo,BED,2
BOG,波哥大,Bogota,BoGeDa,BGD,2
BOI,博伊西,Boise,BoYiXi,BYX,2
BOJ,布加斯,Bourgas,BuJiaSi,BJS,2
BOM,孟买,Mumbai,MengMai,MM,2
BOS,波士顿,Boston,BoShiDun,BSD,2
BPE,北戴河,Beidaihe,BeiDaiHe,BDH,1
BPL,博乐,Bola,BoLe,BL,1
BPX,西藏,Chamdo,XiCang,XC,1
BRE,不来梅,Bremen,BuLaiMei,BLM,2
BRL,伯灵顿,Burlington,BoLingDun,BLD,2
BRN,伯尔尼,Berne,BoErNi,BEN,2
BRO,布朗斯维尔,Brownsville,BuLangSiWeiEr,BLSWE,2
BRQ,布尔诺,Brno,BuErNuo,BEN,2
BRS,布里斯托,Bristol,bulisituo,BLST,2
BRU,布鲁塞尔,Brussels,BuLuSaiEr,BLSE,2
BSB,巴西利亚,Brasilia,BaXiLiYa,BXLY,2
BSD,保山,Baoshan,BaoShan,BS,1
BSL,巴塞尔,Basle,BaSaiEr,BSE,2
BTR,巴顿卢日,Baton Rouge,BaDunLuRi,BDLR,2
BTS,布拉迪斯拉发,Bratislava,BuLaDiSiLaFa,BLDSLF,2
BUD,布达佩斯,Budapest,BuDaPeiSi,BDPS,2
BUE,布宜诺斯艾利斯,Buenos Aires,BuYiNuoSiAiLiSi,BYNSALS,2
BUF,布法罗,Buffalo Niagara,BuFaLuo,BFL,2
BUH,布加勒斯特,Bucharest,BuJiaLeSiTe,BJLST,2
BWI,巴尔地摩,Bwi,BaErDiMo,BEDM,2
BWN,斯里巴加湾市,Bandar Seribegawan,SiLiBaJiaWanShi,SLBJWS,2
BZE,伯利兹国际机场,Philip S. W. Goldson,BoLiZiGuoJiJiChang,BLZGJJC,2
CAE,哥伦比亚,Cae,GeLunBiYa,GLBY,2
CAI,开罗,Cairo,KaiLuo,KL,2
CAN,广州,Guangzhou,GuangZhou,GZ,1
CBR,堪培拉,Canberra,KanPeiLa,KPL,2
CCS,加拉加斯,Caracas,JiaLaJiaSi,JLJS,2
CCU,加尔各答,Calcutta,JiaErGeDa,JEGD,2
cde,普宁,普宁,PuNing,PN,1
CDG,巴黎,Cdg,BaLi,BL,2
CEB,麦克坦-宿务,MACTAN-CEBU INTL,MaiKeTan-SuWu,MKT-SW,2
CEI,清莱,CEI,QingLai,QL,2
CEK,车里雅宾斯克,Chelyabinsk,CheLiYaBinSiKe,CLYBSK,2
CGD,常德,Changde,ChangDe,CD,1
CGK,雅加达,Djakarta,YaJiaDa,YJD,2
CGN,科隆,Cologne,KeLong,KL,2
CGO,郑州,Zhengzhou,ZhengZhou,ZZ,1
CGQ,长春,Changchun,ChangChun,CC,1
CHC,克赖斯特彻奇,Christchurch,KeLaiSiTeCheQi,KLSTCQ,2
CHG,朝阳,Chaoyang,ChaoYang,CY,1
CHS,查尔斯顿,Chs,ChaErSiDun,CESD,2
CHW,酒泉,Jiuquan,JiuQuan,JQ,1
CID,塞答尔拉匹兹,Cid,SaiDaErLaPiZi,SDELPZ,2
CIF,赤峰,Chifeng,ChiFeng,CF,1
CIH,长治,Changzhi,ChangZhi,CZ,1
CIT,什姆肯特,Shymkent,ShiMuKenTe,SMKT,2
CJJ,清州,Chungju,QingZhou,QZ,2
CJU,济州,Jeju,JiZhou,JZ,2
CKG,重庆,Chongqing,ChongQing,ZQ,1
CKY,科纳克里,Conakry,KeNaKeLi,KNKL,2
CLE,克利夫兰,Cleveland,KeLiFuLan,KLFL,2
CLJ,克卢日纳波卡,Cluj Napoca,KeLuRiNaBoKa,KLRNBK,2
CLO,卡利,Cali,KaLi,KL,1
CLT,夏洛特,Charlotte,XiaLuoTe,XLT,2
CMB,科隆坡,Colombo,KeLongPo,KLP,2
CMH,哥伦布,Columbus,GeLunBu,GLB,2
