城市中文名称,城市英文名称,城市拼音,城市拼音缩写,机场三字码,国家名称,所属洲,国家英文名
阿布贾,Abuja,abujia,ABJ,ABV,尼日利亚,国际,Nigeria
阿伯丁,Aberdeen,ABoDing,ABD,ABZ,英国,欧洲,UK
阿比让,Abidjan,abirang,ABR,ABJ,科特迪瓦,国际,IvoryCoast(Coted'Ivoire)
阿德莱德,Adelaide,Adelaide,ADLD,ADL,澳大利亚,大洋洲,Australia
阿克拉,Accra,akela,AKL,ACC,加纳,国际,Ghana
阿克苏,AKeSu,AKeSu,AKS,AKU,中国,亚洲,China
阿尔及尔,Algiers,aerjier,AEJE,ALG,阿尔及利亚,国际,Algeria
阿拉木图,Alma-Ata,ALaMuTu,almt,ALA,哈萨克斯坦,亚洲,Kazakhstan
阿勒泰,ALeTai,ALeTai,ALT,AAT,中国,亚洲,China
阿姆利则,Amritsar,amulize,AMLZ,ATQ,印度,亚洲,India
阿姆斯特丹,Amsterdam,AMuSiTeDan,amstd,AMS,荷兰,欧洲,Netherlands
阿皮亚,Apia,Apiya,APY,APW,西萨摩亚,大洋洲,WesternSamoa
阿斯塔纳,Astana,ASiTaNa,ASTN,TSE,哈萨克斯坦,亚洲,Kazakhstan
阿什哈巴德,Ashkhabad,AShenHaBaDe,ashbd,ASB,土库曼斯坦,亚洲,Turkmenistan
爱丁堡,Edinburgh,AiDingBao,adb,EDI,苏格兰,欧洲,Scotland
爱德蒙顿,Edmonton,Aidemengdun,ADMD,YEG,加拿大,北美,Canada
埃默拉尔德,Emerald,Aimolaerde,AMLED,EMD,澳大利亚,大洋洲,Australia
安康,AnKang,AnKang,AK,AKA,中国,亚洲,China
安庆,AnQing,AnQing,AQ,AQG,中国,亚洲,China
安曼,Amman,anman,AM,AMM,约旦,亚洲,Jordan
鞍山,AnShan,AnShan,AS,AOG,中国,亚洲,China
奥克兰,Auckland,Aokelan,AKL,AKL,新西兰,大洋洲,NewZealand
奥什,Osh,AoShen,as,OSS,吉尔吉斯斯坦,亚洲,Krygyzstan
奥兰多,Orlando,AoLanDuo,ald,MCO,美国,北美,USA
奥斯陆,Oslo,Aosilu,OSL,OSL,挪威,欧洲,Norway
澳门,Macau,AoMen,AM,MFM,中国,亚洲,ChinaLand
巴库,Baku,BaKu,bk,GYD,阿塞拜疆,亚洲,Azerbaijan
巴黎,Paris,BaLi,bl,CDG,法国,欧洲,France
巴厘岛,DenpasarBali,balidao,BLD,DPS,印度尼西亚,亚洲,Indonesia
巴林,Bahrain,balin,BL,BAH,巴林,亚洲,Bahrain
巴邻旁,Palembang,balinpang,BLP,PLM,印度尼西亚,亚洲,Indonesia
巴特那,Patna,batena,BTN,PAT,印度,亚洲,India
巴伦西亚,Valencia,balunxiya,BLXY,VLC,西班牙,欧洲,Spain
巴塞罗那,Barcelona,BaSaiLuoNa,bsln,BCN,西班牙,欧洲,Spain
保山,BaoShan,BaoShan,BS,BSD,中国,亚洲,China
包头,BaoTou,BaoTou,BT,BAV,中国,亚洲,China
惠州,HuiZhou,huizhou,HZ,HUZ,中国,亚洲,China
北京,BeiJing,BeiJing,BJ,PEK,中国,亚洲,China
北海,BeiHai,BeiHai,BH,BHY,中国,亚洲,China
班加罗尔,Bengaluru,banjiailuoer,BJLE,BLR,印度,亚洲,India
班达伯格,Bundaberg,Bandaboge,BDBG,BDB,澳大利亚,大洋洲,Australia
贝尔法斯特,Belfast,BeiErFaSiTe,BEFST,BFS,爱尔兰,欧洲,Ireland
贝尔格莱德,Belgrade,beiergelaide,BEGLD,BEG,塞尔维亚,欧洲,Serbia
贝鲁特,Beirut,beilute,BLT,BEY,黎巴嫩,亚洲,Lebanon
比萨,Pisa,bisa,BS,PSA,意大利,欧洲,Italy
比什凯克,Bishkek,BiShenKaiKe,bskk,FRU,吉尔吉斯斯坦,亚洲,Kyrgyz
毕节,BiJie,BiJie,BJ,BFJ,中国,亚洲,China
北九州,Kitakyushu,BeiJiuZhou,bjz,KKJ,日本,亚洲,Japan
槟城,Penang,BinCheng,bc,PEN,马来群岛,亚洲,Malaysia
波尔图,Porto,boertu,BET,OPO,葡萄牙,欧洲,Portugal
伯明翰,Birmingham,BoMingHan,bmh,BHX,英国,欧洲,UK
博乐,Bole,Bole,BL,BPL,中国,亚洲,China
博洛尼亚,Bologna,boluoniya,BLNY,BLQ,意大利,欧洲,Italy
柏林,Berlin,BoLin,bl,BER,德国,欧洲,Germany
波特兰,Portland,Botelan,BTL,PDX,美国,北美,UnitedStates
